Accession,Protein_Name,Gene_symbol,Protein_Type,Sperm_Location,Caput,NC_Cauda,CORE,NegLog10_p_value,FC
Q80YT7-2,Isoform 2 of Myomegalin,Pde4dip,,Nucleus,Yes,,,,
Q80YT9,Splicing regulator RBM11,Rbm11,,Nucleus,Yes,,,,
Q80YU0,Protein ABHD16B,Abhd16b,,,Yes,Yes,Yes,2.157,0.816
Q80YV2,Nuclear-interacting partner of ALK,Zc3hc1,,Nucleus,Yes,,,,
Q80YV3,Transformation/transcription domain-associated protein,Trrap,Transcription regulator,Nucleus,Yes,,,,
Q80YW5,B box and SPRY domain-containing protein,Bspry,,,Yes,Yes,Yes,1.575,0.749
Q80YW5-2,Isoform 2 of B box and SPRY domain-containing protein,Bspry,,,Yes,Yes,Yes,2.731,0.297
Q80ZI6,E3 ubiquitin-protein ligase LRSAM1,Lrsam1,Enzyme,,Yes,,,,
Q80ZJ1,Ras-related protein Rap-2a,Rap2a,Enzyme,,Yes,,,,
Q80ZK0,"28S ribosomal protein S10, mitochondrial",Mrps10,,Mitochondria,Yes,,,,
Q80ZM7,Transcription initiation factor IIA subunit 2,Gtf2a2,Transcription regulator,Nucleus,Yes,,,,
Q80ZN5,Cystatin-13,Cst13,,,Yes,Yes,Yes,0.752,0.31
Q80ZN9,Cytochrome c oxidase subunit 6B2,Cox6b2,Enzyme,Mitochondria,Yes,Yes,Yes,1.064,-0.176
Q80ZQ0,Sperm acrosome membrane-associated protein 4,Spaca4,,Acrosome,Yes,Yes,Yes,0.796,0.196
Q80ZQ3,Uncharacterized protein C8orf74 homolog,,,,Yes,Yes,Yes,2.603,0.854
Q80ZS3,"28S ribosomal protein S26, mitochondrial",Mrps26,,Mitochondria,Yes,,,,
Q80ZU0,ADP-ribosylation factor-like protein 5A,Arl5a,Enzyme,,Yes,,,,
Q80ZW2,Protein THEM6,Them6,,,Yes,,,,
Q810A3,Tetratricopeptide repeat protein 9C,Ttc9c,,,Yes,Yes,Yes,1.106,-0.184
Q810A7,ATP-dependent RNA helicase DDX42,Ddx42,Enzyme,Nucleus,Yes,,,,
Q810B6,Rabankyrin-5,Ankfy1,Transcription regulator,,Yes,,,,
Q810J8,Zinc finger FYVE domain-containing protein 1,Zfyve1,,Mitochondria,Yes,Yes,Yes,0.531,0.233
Q810M1,Cilia- and flagella-associated protein 299,Cfap299,,Nucleus,Yes,Yes,Yes,2.34,0.922
Q810M5,Palmitoyltransferase ZDHHC19,Zdhhc19,Enzyme,,Yes,Yes,Yes,2.608,0.71
Q810N5,Uncharacterized protein C12orf60 homolog,,,,Yes,Yes,Yes,2.068,0.645
Q810N6,Ankyrin repeat domain-containing protein 45,Ankrd45,Transcription regulator,,Yes,Yes,Yes,1.831,0.931
Q810P2,Outer dense fiber protein 3-like protein 1,Odf3l1,,,Yes,Yes,Yes,2.608,0.482
Q810Q5,Normal mucosa of esophagus-specific gene 1 protein,Nmes1,,Nucleus; Mitochondria,Yes,Yes,Yes,1.646,0.266
Q810S2,Uncharacterized protein C2orf74 homolog,,,,Yes,Yes,Yes,2.981,1.132
Q810U2,Transmembrane epididymal protein 1A,Teddm1a,,,Yes,,,,
Q810U5,Coiled-coil domain-containing protein 50,Ccdc50,,,Yes,,,,
Q810V0,U3 small nucleolar ribonucleoprotein protein MPP10,Mphosph10,,Nucleus,Yes,,,,
Q810Z1,Epididymal-specific lipocalin-10,Lcn10,,,Yes,,,,
Q811D0,Disks large homolog 1,Dlg1,Kinase,Nucleus,Yes,Yes,Yes,4.446,-1.343
Q811G0,Protein PTHB1,Bbs9,,,Yes,,,,
Q811I0,ATP synthase mitochondrial F1 complex assembly factor 1,Atpaf1,,,Yes,,,,
Q811Q4,Disintegrin and metalloproteinase domain-containing protein 29,Adam29,Peptidase,,Yes,,,,
Q811U4,Mitofusin-1,Mfn1,Enzyme,Mitochondria,Yes,,,,
Q812F3,Hyaluronidase-5,Hyal5,Enzyme,Acrosome,Yes,Yes,Yes,2.807,0.438
Q8BFP9,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial",Pdk1,Kinase,Mitochondria,Yes,,,,
Q8BFQ4,WD repeat-containing protein 82,Wdr82,,Nucleus,Yes,,,,
Q8BFQ8,Glutamine amidotransferase-like class 1 domain-containing protein 1,Gatd1,,,Yes,,,,
Q8BFR4,N-acetylglucosamine-6-sulfatase,Gns,Enzyme,,Yes,Yes,Yes,5.542,-2.41
Q8BFR5,"Elongation factor Tu, mitochondrial",Tufm,Translation regulator,Mitochondria,Yes,Yes,Yes,3.772,-1.416
Q8BFR6,AN1-type zinc finger protein 1,Zfand1,,,Yes,,,,
Q8BFS6,Serine/threonine-protein phosphatase CPPED1,Cpped1,Enzyme,,Yes,,,,
Q8BFU2,Histone H2A type 3,H2aw,,Nucleus,Yes,,,,
Q8BFU3,RING finger protein 214,Rnf214,,,Yes,,,,
Q8BFV2,PCI domain-containing protein 2,Pcid2,Transcription regulator,Nucleus,Yes,,,,
Q8BFW7,Lipoma-preferred partner homolog,Lpp,,Nucleus,Yes,,,,
Q8BFW7-4,Isoform 4 of Lipoma-preferred partner homolog,Lpp,,Nucleus,Yes,Yes,Yes,4.234,1.901
Q8BFY6,Peflin,Pef1,,,Yes,Yes,Yes,4.017,-1.308
Q8BFY9,Transportin-1,Tnpo1,Transporter,Nucleus,Yes,,,,
Q8BFZ3,Beta-actin-like protein 2,Actbl2,,,Yes,,,,
Q8BFZ9,Erlin-2,Erlin2,,,Yes,Yes,Yes,2.426,-0.583
Q8BG05,Heterogeneous nuclear ribonucleoprotein A3,Hnrnpa3,Transporter,Nucleus,Yes,Yes,Yes,5.618,-1.93
Q8BG07,5'-3' exonuclease PLD4,Pld4,Enzyme,Nucleus,Yes,,,,
Q8BG15,CTD small phosphatase-like protein 2,Ctdspl2,Phosphatase,Nucleus,Yes,,,,
Q8BG30,Negative elongation factor A,Nelfa,,Nucleus,Yes,,,,
Q8BG32,26S proteasome non-ATPase regulatory subunit 11,Psmd11,,,Yes,Yes,Yes,1.819,-0.137
Q8BG51,Mitochondrial Rho GTPase 1,Rhot1,Enzyme,Mitochondria,,Yes,,,
Q8BG51-3,Isoform 3 of Mitochondrial Rho GTPase 1,Rhot1,Enzyme,Mitochondria,Yes,,,,
Q8BG51-4,Isoform 4 of Mitochondrial Rho GTPase 1 ,Rhot1,Enzyme,Mitochondria,,,,,
Q8BG67,Protein EFR3 homolog A,Efr3a,,,Yes,Yes,Yes,2.101,0.441
Q8BG81,Polymerase delta-interacting protein 3,Poldip3,,Nucleus,Yes,,,,
Q8BG93,Nucleotide triphosphate diphosphatase NUDT15,Nudt15,Phosphatase,,,Yes,,,
Q8BG94,COMM domain-containing protein 7,Commd7,,,Yes,,,,
Q8BGA5,KRR1 small subunit processome component homolog,Krr1,,Nucleus,Yes,,,,
Q8BGA7,Uncharacterized protein C7orf26 homolog,,,,Yes,,,,
Q8BGA9,Mitochondrial inner membrane protein OXA1L,Oxa1l,Enzyme,Mitochondria,Yes,,,,
Q8BGB2,Tetratricopeptide repeat protein 7A ,Ttc7a,,,,,,,
Q8BGB5,LIM domain-containing protein 2,Limd2,,Nucleus,Yes,Yes,Yes,0.017,-0.005
Q8BGB7,Enolase-phosphatase E1,Enoph1,Enzyme,Nucleus,Yes,Yes,Yes,0.043,-0.023
Q8BGB8,"Ubiquinone biosynthesis protein COQ4 homolog, mitochondrial",Coq4,,Mitochondria,Yes,,,,
Q8BGC0,HIV Tat-specific factor 1 homolog,Htatsf1,Transcription regulator,Nucleus,Yes,,,,
Q8BGC4,Prostaglandin reductase-3,Zadh2,Enzyme,,Yes,,,,
Q8BGD4,Solute carrier organic anion transporter family member 4C1,Slco4c1,Transporter,,Yes,,,,
Q8BGD5,"Carnitine O-palmitoyltransferase 1, brain isoform",Cpt1c,Enzyme,Mitochondria,Yes,Yes,Yes,2.323,0.497
Q8BGD9,Eukaryotic translation initiation factor 4B,Eif4b,Translation regulator,,Yes,,,,
Q8BGE6,Cysteine protease ATG4B,Atg4b,Peptidase,,Yes,Yes,Yes,0.226,0.08
Q8BGF6,ELMO domain-containing protein 2,Elmod2,,,Yes,,,,
Q8BGF9,Solute carrier family 25 member 44 ,Slc25a44,,Mitochondria,,,,,
Q8BGG6,Motile sperm domain-containing protein 3 ,Mospd3,,,,,,,
Q8BGH2,Sorting and assembly machinery component 50 homolog,Samm50,,Mitochondria,Yes,Yes,Yes,0.453,-0.068
Q8BGI5,Peroxisome assembly protein 26,Pex26,,,Yes,,,,
Q8BGK6,Y+L amino acid transporter 2,Slc7a6,Transporter,,,Yes,,,
Q8BGN2,UPF0462 protein C4orf33 homolog,D3Ertd751e,,,Yes,Yes,Yes,2.469,0.537
Q8BGP6,Solute carrier family 25 member 40,Slc25a40,,Mitochondria,Yes,Yes,Yes,2.849,0.389
Q8BGQ1,Spermatogenesis-defective protein 39 homolog,Vipas39,,,Yes,,,,
Q8BGQ4,Protein O-mannosyl-transferase 2,Pomt2,Enzyme,,Yes,,,,
Q8BGQ6,EF-hand calcium-binding domain-containing protein 14,Efcab14,,,Yes,Yes,Yes,2.897,0.818
Q8BGQ7,"Alanine--tRNA ligase, cytoplasmic",Aars1,Enzyme,,Yes,Yes,Yes,2.929,-1.074
Q8BGR2,Volume-regulated anion channel subunit LRRC8D,Lrrc8d,G-protein coupled receptor,,Yes,,,,
Q8BGR9,Ubiquitin-like domain-containing CTD phosphatase 1,Ublcp1,Phosphatase,Nucleus,Yes,,,,
Q8BGS0,Protein MAK16 homolog,Mak16,,Nucleus,Yes,,,,
Q8BGS1,Band 4.1-like protein 5,Epb41l5,,,Yes,,,,
Q8BGS2,BolA-like protein 2,Bola2,,Nucleus,Yes,Yes,Yes,0.627,0.091
Q8BGS7,Choline/ethanolaminephosphotransferase 1,Cept1,Enzyme,Nucleus,Yes,Yes,Yes,3.606,-0.999
Q8BGT0,Osteopetrosis-associated transmembrane protein 1,Ostm1,,,Yes,,,,
Q8BGT5,Alanine aminotransferase 2,Gpt2,Enzyme,,Yes,,,,
Q8BGT7,Survival of motor neuron-related-splicing factor 30,Smndc1,,Nucleus,Yes,,,,
Q8BGT8,Phytanoyl-CoA hydroxylase-interacting protein-like,Phyhipl,,,,Yes,,,
Q8BGT9,Polypeptide N-acetylgalactosaminyltransferase 12,Galnt12,Enzyme,,Yes,,,,
Q8BGU5,Cyclin-Y,Ccny,,Nucleus,Yes,Yes,Yes,0.117,-0.034
Q8BGV0,"Probable asparagine--tRNA ligase, mitochondrial",Nars2,Enzyme,Mitochondria,Yes,,,,
Q8BGV3,Tumor-associated calcium signal transducer 2,Tacstd2,,Nucleus,Yes,,,,
Q8BGX1,PC-esterase domain-containing protein 1B,Pced1b,,,Yes,,,,
Q8BGX2,Mitochondrial import inner membrane translocase subunit Tim29,Timm29,,Mitochondria,Yes,,,,
Q8BGY7,Protein FAM210A,Fam210a,,,Yes,Yes,Yes,0.055,-0.02
Q8BGZ4,Cell division cycle protein 23 homolog,Cdc23,Enzyme,,Yes,,,,
Q8BH01,Transmembrane and coiled-coil domain-containing protein 3,Tmco3,Transporter,,Yes,,,,
Q8BH02,Torsin-4A,Tor4a,,,Yes,,,,
Q8BH04,"Phosphoenolpyruvate carboxykinase [GTP], mitochondrial",Pck2,Kinase,,Yes,Yes,Yes,3.269,-0.774
Q8BH07,ADP-ribosylation factor-like protein 6-interacting protein 6,Arl6ip6,,Nucleus,Yes,,,,
Q8BH15,CCR4-NOT transcription complex subunit 10,Cnot10,,Nucleus,Yes,,,,
Q8BH24,Transmembrane 9 superfamily member 4,Tm9sf4,Transporter,,Yes,Yes,Yes,3.66,-1.253
Q8BH43,Wiskott-Aldrich syndrome protein family member 2,Wasf2,,,Yes,,,,
Q8BH47,Vesicle-trafficking protein SEC22a,Sec22a,Transporter,,Yes,,,,
Q8BH52,Cyclic AMP-responsive element-binding protein 3-like protein 2,Creb3l2,Transcription regulator,Nucleus,Yes,,,,
Q8BH53,Cilia- and flagella-associated protein 69,Cfap69,,Mid-piece,Yes,Yes,Yes,2.842,0.543
Q8BH55,Threonine synthase-like 1,Thnsl1,Kinase,,Yes,Yes,Yes,1.737,0.253
Q8BH57,WD repeat-containing protein 48,Wdr48,,Nucleus,Yes,,,,
Q8BH58,TIP41-like protein,Tiprl,,,Yes,Yes,Yes,1.444,0.181
Q8BH59,Calcium-binding mitochondrial carrier protein Aralar1,Slc25a12,Transporter,Mitochondria,Yes,Yes,Yes,4.859,-1.608
Q8BH60,Golgi-associated PDZ and coiled-coil motif-containing protein,Gopc,Transporter,,Yes,,,,
Q8BH64,EH domain-containing protein 2,Ehd2,,,Yes,,,,
Q8BH65,Protein DENND6A,Dennd6a,,,Yes,,,,
Q8BH69,"Selenide, water dikinase 1",Sephs1,Enzyme,Nucleus,Yes,Yes,Yes,0.357,-0.216
Q8BH73,Glutaminyl-peptide cyclotransferase-like protein,Qpctl,Enzyme,,Yes,Yes,Yes,4.065,-1.295
Q8BH74,Nuclear pore complex protein Nup107,Nup107,,Nucleus,Yes,Yes,Yes,4.965,-3.069
Q8BH79,Anoctamin-10,Ano10,Ion channel,,Yes,Yes,Yes,3.374,-0.967
Q8BH82,N-acyl-phosphatidylethanolamine-hydrolyzing phospholipase D,Napepld,Enzyme,Nucleus,,Yes,,,
Q8BH86,"D-glutamate cyclase, mitochondrial",Dglucy,Enzyme,Mitochondria,Yes,Yes,Yes,4.39,-1.171
Q8BH89,WAP four-disulfide core domain protein 15A,Wfdc15a,,,Yes,Yes,Yes,1.44,0.329
Q8BH95,"Enoyl-CoA hydratase, mitochondrial",Echs1,Enzyme,Mitochondria,Yes,Yes,Yes,3.349,-0.853
Q8BH97,Reticulocalbin-3,Rcn3,,,Yes,,,,
Q8BHA0,INO80 complex subunit C,Ino80c,,Nucleus,Yes,,,,
Q8BHA3,D-aminoacyl-tRNA deacylase 2,Dtd2,,,Yes,,,,
Q8BHB4,WD repeat-containing protein 3,Wdr3,,Nucleus,Yes,,,,
Q8BHB9,Chloride intracellular channel protein 6,Clic6,Ion channel,,Yes,,,,
Q8BHC4,Dephospho-CoA kinase domain-containing protein,Dcakd,,,Yes,Yes,Yes,4.539,-1.586
Q8BHC9,"Alpha-(1,3)-fucosyltransferase 11",Fut11,Enzyme,,Yes,,,,
Q8BHD1,POC1 centriolar protein homolog B,Poc1b,,,Yes,Yes,Yes,1.177,0.251
Q8BHD7,Polypyrimidine tract-binding protein 3,Ptbp3,,Nucleus,Yes,Yes,Yes,3.651,-2.626
Q8BHE8,"m-AAA protease-interacting protein 1, mitochondrial",Maip1,,Mitochondria,Yes,Yes,Yes,1.235,-0.114
Q8BHF7,"CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase, mitochondrial",Pgs1,Enzyme,,Yes,Yes,Yes,1.912,0.259
Q8BHG1,Nardilysin,Nrdc,Peptidase,,Yes,Yes,Yes,0.539,-0.071
Q8BHG2,CXXC motif containing zinc binding protein,Czib,,,Yes,Yes,Yes,0.948,0.1
Q8BHI7,Elongation of very long chain fatty acids protein 5,Elovl5,Enzyme,,Yes,,,,
Q8BHJ5,F-box-like/WD repeat-containing protein TBL1XR1,Tbl1xr1,Transcription regulator,Nucleus,Yes,Yes,Yes,2.72,-0.334
Q8BHJ6,Serine incorporator 5,Serinc5,Transporter,,Yes,,,,
Q8BHJ9,Pre-mRNA-splicing factor SLU7,Slu7,Enzyme,Nucleus,Yes,,,,
Q8BHL5,Engulfment and cell motility protein 2,Elmo2,,,Yes,,,,
Q8BHL8,Proteasome inhibitor PI31 subunit,Psmf1,,,Yes,Yes,Yes,1.799,0.296
Q8BHN3,Neutral alpha-glucosidase AB,Ganab,Enzyme,,,Yes,,,
Q8BHN3-2,Isoform 2 of Neutral alpha-glucosidase AB,Ganab,Enzyme,,Yes,,,,
Q8BHN5,RNA-binding protein 45,Rbm45,,Nucleus,Yes,,,,
Q8BHS3,Pre-mRNA-splicing factor RBM22,Rbm22,,Nucleus,Yes,,,,
Q8BHS6,Armadillo repeat-containing X-linked protein 3,Armcx3,,Nucleus; Mitochondria,Yes,,,,
Q8BHT6,"Beta-1,3-glucosyltransferase",B3glct,Enzyme,,Yes,,,,
Q8BHW9,Schlafen-like protein 1,Slfnl1,,,Yes,Yes,Yes,1.212,0.501
Q8BHY2,Nucleolar complex protein 4 homolog,Noc4l,Transcription regulator,Nucleus,Yes,,,,
Q8BHY3,Anoctamin-1,Ano1,Ion channel,,Yes,,,,
Q8BHY8,Sorting nexin-14,Snx14,Transporter,,Yes,,,,
Q8BHZ4,Zinc finger protein 592,Znf592,Transcription regulator,Nucleus,Yes,,,,
Q8BI21,E3 ubiquitin-protein ligase RNF38,Rnf38,Enzyme,Nucleus; Flagellum,,Yes,,,
Q8BI22,Centrosomal protein of 128 kDa,Cep128,,,Yes,Yes,Yes,1.419,0.125
Q8BI72,CDKN2A-interacting protein,Cdkn2aip,Transcription regulator,Nucleus,Yes,,,,
Q8BI79,Coiled-coil domain-containing protein 40,Ccdc40,,Axoneme,Yes,Yes,Yes,3.358,0.635
Q8BI84,Transport and Golgi organization protein 1 homolog,Mia3,,,Yes,Yes,Yes,4.017,-2.719
Q8BIG2,Protein LKAAEAR1,Lkaaear1,,,Yes,Yes,Yes,3.071,0.845
Q8BIG4,F-box only protein 28,Fbxo28,,,Yes,,,,
Q8BIG7,Catechol O-methyltransferase domain-containing protein 1,Comtd1,Enzyme,,Yes,,,,
Q8BIH0,Histone deacetylase complex subunit SAP130,Sap130,Transcription regulator,Nucleus,Yes,,,,
Q8BIJ6,"Isoleucine--tRNA ligase, mitochondrial",Iars2,Enzyme,Mitochondria,Yes,Yes,Yes,2.111,0.151
Q8BIJ7,RUN and FYVE domain-containing protein 1,Rufy1,,,Yes,,,,
Q8BIK4,Dedicator of cytokinesis protein 9,Dock9,,,Yes,,,,
Q8BIL5,Protein Hook homolog 1,Hook1,,Nucleus; Mitochondria,Yes,Yes,Yes,3.684,-1.196
Q8BIP0,"Aspartate--tRNA ligase, mitochondrial",Dars2,Enzyme,Mitochondria,Yes,,,,
Q8BIQ5,Cleavage stimulation factor subunit 2,Cstf2,,Nucleus,Yes,,,,
Q8BIS8,Coiled-coil domain-containing protein 126,Ccdc126,,,Yes,,,,
Q8BIW1,Exopolyphosphatase PRUNE1,Prune1,Enzyme,Nucleus,Yes,Yes,Yes,0.121,0.047
Q8BIX3,ARL14 effector protein,Arl14ep,,,Yes,,,,
Q8BIZ6,Smad nuclear-interacting protein 1,Snip1,,Nucleus,Yes,,,,
Q8BJ03,Cytochrome c oxidase assembly protein COX15 homolog,Cox15,Enzyme,Mitochondria,Yes,,,,
Q8BJ05,Zinc finger CCCH domain-containing protein 14,Zc3h14,,Nucleus,Yes,,,,
Q8BJ64,"Choline dehydrogenase, mitochondrial",Chdh,Enzyme,Mitochondria,Yes,Yes,Yes,2.897,-0.207
Q8BJ71,Nuclear pore complex protein Nup93,Nup93,,Nucleus,Yes,Yes,Yes,5.208,-1.337
Q8BJ90,Zinc finger protein 771,Znf771,Transcription regulator,Nucleus,Yes,,,,
Q8BJA3,Homeobox-containing protein 1,Hmbox1,Transcription regulator,Nucleus,Yes,,,,
Q8BJD1,Inter-alpha-trypsin inhibitor heavy chain H5,Itih5,,,Yes,,,,
Q8BJF9,Charged multivesicular body protein 2b,Chmp2b,,,Yes,,,,
Q8BJM5,Zinc transporter 6,Slc30a6,Transporter,,Yes,,,,
Q8BJM7,S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase TYW1,Tyw1,,,Yes,,,,
Q8BJS4,SUN domain-containing protein 2,Sun2,,Nucleus,Yes,,,,
Q8BJT9,ER degradation-enhancing alpha-mannosidase-like protein 2,Edem2,Enzyme,,Yes,,,,
Q8BJU0,Small glutamine-rich tetratricopeptide repeat-containing protein alpha,Sgta,,Nucleus,Yes,Yes,Yes,1.786,0.158
Q8BJW5,Nucleolar protein 11,Nol11,,Nucleus,Yes,,,,
Q8BJW6,Eukaryotic translation initiation factor 2A,Eif2a,Translation regulator,,Yes,,,,
Q8BJY1,26S proteasome non-ATPase regulatory subunit 5,Psmd5,,,Yes,Yes,Yes,4.232,-0.76
Q8BJZ4,"28S ribosomal protein S35, mitochondrial",Mrps35,,Mitochondria,Yes,,,,
Q8BK08,"Transmembrane protein 11, mitochondrial",Tmem11,G-protein coupled receptor,Mitochondria,Yes,Yes,Yes,0.785,-0.118
Q8BK30,"NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial ",Ndufv3,,Mitochondria,,,,,
Q8BK35,Ribosome biogenesis protein NOP53,Nop53,,Nucleus,Yes,,,,
Q8BK63,Casein kinase I isoform alpha,Csnk1a1,Kinase,Nucleus,Yes,Yes,Yes,0.473,0.135
Q8BK64,Activator of 90 kDa heat shock protein ATPase homolog 1,Ahsa1,,,Yes,Yes,Yes,1.505,-0.854
Q8BK67,Protein RCC2,Rcc2,,Nucleus,Yes,,,,
Q8BK72,"28S ribosomal protein S27, mitochondrial",Mrps27,,Mitochondria,Yes,,,,
Q8BKC5,Importin-5,Ipo5,Transporter,Nucleus,Yes,Yes,Yes,1.224,-0.201
Q8BKC8,Phosphatidylinositol 4-kinase beta,Pi4kb,Kinase,Mitochondria,Yes,,,,
Q8BKE6,Cytochrome P450 20A1,Cyp20a1,Enzyme,,Yes,Yes,Yes,3.254,-1.01
Q8BKE9,Intraflagellar transport protein 74 homolog,Ift74,,Nucleus,Yes,Yes,Yes,3.415,-0.629
Q8BKG3,Inactive tyrosine-protein kinase 7,Ptk7,Kinase,,Yes,,,,
Q8BKH7,Target of rapamycin complex 2 subunit MAPKAP1,Mapkap1,,Nucleus,Yes,,,,
Q8BKR5,Protein phosphatase 1 regulatory subunit 37,Ppp1r37,,,Yes,,,,
Q8BKS9,Pumilio homolog 3,Pum3,,Nucleus,Yes,,,,
Q8BKT3,GC-rich sequence DNA-binding factor 2,Gcfc2,Transcription regulator,Nucleus,Yes,,,,
Q8BKT7,THO complex subunit 5 homolog,Thoc5,,Nucleus,Yes,,,,
Q8BKU8,Transmembrane protein 87B,Tmem87b,,,Yes,,,,
Q8BKX1,Brain-specific angiogenesis inhibitor 1-associated protein 2,Baiap2,Kinase,,Yes,,,,
Q8BKY8,"Transcription termination factor 2, mitochondrial",Mterf2,Transcription regulator,Mitochondria,Yes,Yes,Yes,0.951,-0.886
Q8BKZ9,"Pyruvate dehydrogenase protein X component, mitochondrial",Pdhx,Enzyme,Mitochondria,Yes,Yes,Yes,1.478,0.165
Q8BL03,Mitochondrial basic amino acids transporter,Slc25a29,Transporter,Mitochondria,Yes,,,,
Q8BL66,Early endosome antigen 1,Eea1,,,Yes,,,,
Q8BL74,General transcription factor 3C polypeptide 2,Gtf3c2,Transcription regulator,Nucleus,Yes,,,,
Q8BL86,Metallo-beta-lactamase domain-containing protein 2,Mblac2,,,Yes,,,,
Q8BL97,Serine/arginine-rich splicing factor 7,Srsf7,,Nucleus,Yes,Yes,Yes,8.578,-1.365
Q8BLA1,Deleted in lung and esophageal cancer protein 1 homolog,Dlec1,,,Yes,Yes,Yes,3.57,0.948
Q8BLB7,Lethal(3)maligt brain tumor-like protein 3,L3mbtl3,,Nucleus,Yes,,,,
Q8BLF1,Neutral cholesterol ester hydrolase 1,Nceh1,Enzyme,,Yes,Yes,Yes,1.847,-0.394
Q8BLH5,Probable threonine protease PRSS50,Prss50,Peptidase,,Yes,Yes,Yes,1.854,0.497
Q8BLN5,Lanosterol synthase,Lss,Enzyme,,Yes,Yes,Yes,3.912,-1.744
Q8BLX4,GDP-fucose transporter 1,Slc35c1,Transporter,,Yes,,,,
Q8BLY7,Hermansky-Pudlak syndrome 6 protein homolog,Hps6,,,Yes,,,,
Q8BM55,Transmembrane protein 214,Tmem214,,,Yes,,,,
Q8BM72,Heat shock 70 kDa protein 13,Hspa13,,,Yes,,,,
Q8BM75,AT-rich interactive domain-containing protein 5B,Arid5b,Transcription regulator,Nucleus,Yes,,,,
Q8BM88,Cathepsin O,Ctso,Peptidase,,Yes,,,,
Q8BMA6,Signal recognition particle subunit SRP68,Srp68,,Nucleus,Yes,,,,
Q8BMB0,BRCA2-interacting transcriptional repressor EMSY,Emsy,,Nucleus,Yes,,,,
Q8BMB3,Eukaryotic translation initiation factor 4E type 2,Eif4e2,Translation regulator,,Yes,,,,
Q8BMD2,Zinc finger protein DZIP1,Dzip1,,Nucleus,,Yes,,,
Q8BMD6,Transmembrane protein 260,Tmem260,,,Yes,,,,
Q8BMD8,Calcium-binding mitochondrial carrier protein SCaMC-1,Slc25a24,Transporter,Mitochondria,Yes,Yes,Yes,2.711,-0.966
Q8BMF3,"NADP-dependent malic enzyme, mitochondrial",Me3,Enzyme,Mitochondria,Yes,,,,
Q8BMF4,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial",Dlat,Enzyme,Mitochondria,Yes,Yes,Yes,0.124,0.015
Q8BMG7,Rab3 GTPase-activating protein non-catalytic subunit,Rab3gap2,Enzyme,,Yes,,,,
Q8BMG8,Mitochondrial folate transporter/carrier,Slc25a32,Transporter,Mitochondria,Yes,Yes,Yes,1.164,-0.467
Q8BMI0,F-box only protein 38,Fbxo38,,Nucleus,Yes,,,,
Q8BMI3,ADP-ribosylation factor-binding protein GGA3 ,Gga3,,,,,,,
Q8BMJ2,"Leucine--tRNA ligase, cytoplasmic",Lars1,Enzyme,,Yes,Yes,Yes,3.46,-1.103
Q8BMK4,Cytoskeleton-associated protein 4,Ckap4,,,Yes,Yes,Yes,4.189,-0.685
Q8BML9,Glutamine--tRNA ligase,Qars1,Enzyme,,Yes,Yes,Yes,3.4,-0.884
Q8BMP6,Golgi resident protein GCP60,Acbd3,,Mitochondria,Yes,Yes,Yes,3.182,-1.5
Q8BMQ2,General transcription factor 3C polypeptide 4,Gtf3c4,Transcription regulator,Nucleus,Yes,,,,
Q8BMS1,"Trifunctional enzyme subunit alpha, mitochondrial",Hadha,Enzyme,Mitochondria,Yes,Yes,Yes,3.944,-0.496
Q8BMS4,"Ubiquinone biosynthesis O-methyltransferase, mitochondrial",Coq3,Enzyme,Mitochondria,Yes,,,,
Q8BMU0,Zinc finger protein 76,Znf76,Transcription regulator,Nucleus,Yes,,,,
Q8BMY7,Serine protease inhibitor Kazal-type 2,Spink2,,Acrosome,Yes,Yes,Yes,0.262,0.054
Q8BMZ5,tRNA-splicing endonuclease subunit Sen34,Tsen34,Enzyme,Nucleus,Yes,,,,
Q8BN21,Serine/threonine-protein kinase VRK2,Vrk2,Kinase,Nucleus; Mitochondria,Yes,,,,
Q8BN82,Sialin,Slc17a5,Transporter,,Yes,,,,
Q8BND3,WD repeat-containing protein 35,Wdr35,,Axoneme,Yes,Yes,Yes,1.393,-0.507
Q8BND5,Sulfhydryl oxidase 1,Qsox1,Enzyme,,Yes,Yes,Yes,0.673,0.233
Q8BNI4,Derlin-2,Derl2,,,Yes,,,,
Q8BNU0,Armadillo repeat-containing protein 6,Armc6,,,Yes,Yes,Yes,0.945,0.354
Q8BNV1,tRNA (uracil-5-)-methyltransferase homolog A,Trmt2a,Kinase,,Yes,,,,
Q8BNW9,Kelch repeat and BTB domain-containing protein 11,Kbtbd11,,,Yes,,,,
Q8BP01,Vimentin-type intermediate filament-associated coiled-coil protein,Vmac,,,Yes,,,,
Q8BP40,Lysophosphatidic acid phosphatase type 6,Acp6,Phosphatase,,Yes,Yes,Yes,3.805,-0.629
Q8BP47,"Asparagine--tRNA ligase, cytoplasmic",NARS1,Enzyme,,Yes,,,,
Q8BP48,Methionine aminopeptidase 1,Metap1,Peptidase,,Yes,Yes,Yes,3.707,-1.605
